ID,RATING,NOAA,AR_START,X,Y,AR_END,SIG_START,SIG_END,TBEST,ORIENTATION,HEMISPHERE,SIZE,ASPECT,EUV_FIL,HALPHA_FIL,SUNSPOTS,FLUX_EMERGE,FLUX_CANCEL,FLUX_PEAK,FLARE,CME,CME_LINKS,FIL_ERUPT,TRANSIENT_CORONAL_HOLE,FLARE_RIBBONS,POST_FLARE_LOOPS,NEARBY_CORONAL_HOLE,NEARBY_AR,XRT_FRAMES,COMMENTS
15,2,11007,2008-10-31T17:57:30.000,59,557,2008-11-05T18:02:00.000,2008-10-31T17:57:00.000,2008-11-02T18:04:00.000,2008-11-01T05:42:00.000,I,N,120.97,2.39,N,N,0,Y,Y,3.70E+21,"B: 3, C: 1, M: 0, X: 0|B7.2 11/02 15:05|B5.7 11/02 20:15|B2.4 11/03 22:56|C1.0 11/04 03:30","11/03 + 01 hrs, 0376 km/s|11/04 + 02 hrs, 0612 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2008/11/CME0008/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2008/11/CME0009/CME.html,-,-,-,-,-,-,4+,-
17,2,NA,2009-02-10T18:03:30.000,193,72.6,2009-02-20T06:01:00.000,2009-02-15T18:03:00.000,2009-02-17T17:50:00.000,2009-02-17T05:47:00.000,S,E,109.69,2.33,-,-,-,N,Y,1.80E+21,No AR#,NA,NA,-,-,-,-,-,-,5,-
18,1,11017,2009-05-10T05:52:33.000,280,372,2009-05-21T06:03:00.000,2009-05-15T05:52:00.000,2009-05-18T18:03:00.000,2009-05-17T05:29:00.000,S,N,165.07,2.25,N,N,0,Y,Y,6.50E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,-,-,-,-,-,-,6,-
19,1,NA,2009-05-22T06:21:02.000,136,-481,2009-05-28T17:41:00.000,2009-05-26T23:52:00.000,2009-05-27T18:01:00.000,2009-05-27T06:21:00.000,S,S,87.58,2.42,-,-,-,N,Y,1.40E+21,No AR#,NA,NA,-,-,-,-,-,-,2,-
21,0,NA,2009-07-20T17:52:00.000,462,-166,2009-07-26T18:09:00.000,2009-07-24T06:20:00.000,2009-07-26T06:03:00.000,2009-07-25T05:48:00.000,S,S,63.66,1.98,-,-,-,Y,Y,9.00E+20,No AR#,NA,NA,-,-,-,-,-,-,2,-
22,4,NA,2009-07-27T06:00:16.000,-107,-494,2009-08-05T06:03:00.000,2009-07-29T18:07:00.000,2009-08-01T06:21:00.000,2009-07-31T18:03:00.000,S,S,215,2.8,-,-,-,-,-,-,No AR#,NA,NA,-,-,-,-,-,-,4,-
23,3,NA,2009-10-11T18:01:00.000,-45.6,-489,2009-10-21T06:03:00.000,2009-10-16T06:03:00.000,2009-10-20T17:55:00.000,2009-10-17T05:36:00.000,S,S,135,3.9,-,-,-,N,N,2.20E+21,No AR#,NA,NA,-,-,-,-,-,-,3,-
24,0,11040,2010-01-07T05:47:00.000,259,603,2010-01-17T18:17:00.000,2010-01-12T05:37:00.000,2010-01-15T03:53:00.000,2010-01-13T18:03:00.000,I,N,266.04,1.65,N,Y,Many,-,-,-,"B: 19, C: 3, M: 0, X: 0|B1.3 01/07 21:28|B1.4 01/08 17:46|B1.1 01/09 06:10|B2.1 01/09 07:52|B1.5 01/09 08:48|B3.6 01/09 11:14|C1.0 01/09 15:03|B6.1 01/09 22:58|B2.5 01/10 00:35|B4.4 01/10 02:50|B3.7 01/10 11:57|B6.1 01/11 12:01|C1.1 01/12 13:20|B3.0 01/14 01:21|B1.8 01/14 03:39|B2.2 01/14 04:36|B8.1 01/14 21:39|C1.3 01/15 08:41|B3.9 01/16 12:40|B1.9 01/16 17:23|B3.5 01/16 18:30|B1.5 01/16 20:57",NA,NA,-,-,-,-,-,-,3,-
25,3,11045,2010-02-05T17:50:00.000,-4.61,526,2010-02-12T18:03:00.000,2010-02-07T09:43:00.000,2010-02-09T06:03:00.000,2010-02-07T18:14:00.000,I,N,175,2.4,N,Y,Many,Y,N,1.50E+22,"B: 18, C: 30, M: 8, X: 0|B9.0 02/06 14:36|C3.4 02/06 15:39|M2.9 02/06 18:59|M1.3 02/06 21:37|C2.2 02/06 22:31|C2.7 02/06 22:59|M6.4 02/07 02:34|C1.1 02/07 03:29|C9.9 02/07 04:52|B6.3 02/07 06:48|B7.4 02/07 08:01|B8.3 02/07 18:36|C4.2 02/07 21:15|C4.2 02/07 21:39|C1.0 02/07 22:31|C1.4 02/08 00:16|B5.8 02/08 01:14|B7.0 02/08 01:29|B7.4 02/08 02:37|B8.3 02/08 02:52|C6.2 02/08 03:17|C2.4 02/08 03:58|C7.7 02/08 04:15|C8.6 02/08 05:23|C6.8 02/08 06:06|C1.9 02/08 07:03|M4.0 02/08 07:43|C1.9 02/08 08:07|C2.8 02/08 09:58|C1.8 02/08 11:14|M1.1 02/08 12:03|M2.0 02/08 13:47|C1.2 02/08 15:03|C1.3 02/08 15:36|C3.8 02/08 15:52|C1.3 02/08 17:07|B7.0 02/08 17:26|B7.7 02/08 17:49|C1.3 02/08 18:08|B7.8 02/08 18:25|C2.4 02/08 19:10|C1.7 02/08 19:38|B8.6 02/08 20:06|M1.0 02/08 21:23|C2.2 02/08 21:58|B8.4 02/08 22:39|B6.1 02/09 00:29|C2.7 02/09 01:25|C2.4 02/09 04:17|B6.5 02/09 08:49|B8.6 02/10 06:14|B4.8 02/10 07:09|C1.2 02/10 15:06|C3.7 02/10 15:14|B3.5 02/11 01:51|M1.1 02/12 18:08","02/06 + 03 hrs, 0218 km/s|02/07 + 03 hrs, 0339 km/s|02/08 + 01 hrs, 0194 km/s|02/08 + 00 hrs, 0225 km/s|02/10 + 01 hrs, 1201 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2010/02/CME0003/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2010/02/CME0004/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2010/02/CME0005/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2010/02/CME0006/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2010/02/CME0007/CME.html,-,-,-,-,-,-,5,-
26,3,11047,2010-02-08T18:03:00.000,31.2,-166,2010-02-20T03:08:00.000,2010-02-11T18:03:00.000,2010-02-15T06:30:00.000,2010-02-14T06:03:00.000,S,S,95,2.3,N,Y,0,Y,Y,4.40E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,-,-,-,-,-,-,-,-
27,0,NA,2010-02-12T06:02:13.000,10.6,536,2010-02-21T05:54:00.000,2010-02-16T18:03:00.000,2010-02-18T15:40:00.000,2010-02-16T18:03:00.000,I,N,139.83,2.75,-,-,-,Y,Y,4.10E+21,No AR#,NA,NA,-,-,-,-,-,-,2,-
29,3,11051,2010-02-24T18:03:00.000,108,431,2010-03-05T19:38:00.000,2010-03-01T01:04:00.000,2010-03-03T05:33:00.000,2010-03-02T06:03:00.000,I,N,140,2.6,N,N,1,N,Y,4.40E+21,"B: 2, C: 0, M: 0, X: 0|B1.6 02/27 19:29|B1.1 02/27 22:24",NA,NA,-,-,-,-,-,-,5,-
30,1,11057,2010-03-24T06:33:00.000,46.6,395,2010-04-03T06:12:00.000,2010-03-27T09:18:00.000,2010-03-29T18:09:00.000,2010-03-29T06:23:00.000,S,N,226.13,2.54,N,N,Many,Y,Y,1.20E+22,"B: 11, C: 5, M: 0, X: 0|B7.3 03/25 04:33|B3.2 03/25 11:06|B3.6 03/25 14:13|B6.0 03/25 14:37|B4.5 03/25 15:04|B1.7 03/25 22:44|B3.0 03/26 02:23|C2.5 03/26 21:16|C1.2 03/27 05:15|C2.0 03/27 07:57|C1.5 03/27 10:14|B3.1 03/27 12:21|C3.8 03/27 18:29|B3.8 03/28 03:34|B3.3 03/28 09:37|B1.7 04/03 00:02",NA,NA,-,-,-,-,-,-,5,-
31,0,11059,2010-03-28T18:04:00.000,118,-271,2010-04-08T18:05:00.000,2010-04-02T06:08:00.000,2010-04-03T06:12:00.000,2010-04-03T06:12:00.000,S,S,231.27,5.54,N,Y,2,Y,Y,3.80E+21,"B: 1, C: 0, M: 0, X: 0|B7.4 04/03 09:54","04/03 + 01 hrs, 0517 km/s|04/03 + 01 hrs, 0303 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2010/04/CME0003/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/2010/04/CME0004/CME.html,-,-,-,-,-,-,3,-
32,3,NA,2010-04-20T05:52:00.000,-141,380,2010-04-30T18:22:00.000,2010-04-23T18:03:00.000,2010-04-26T18:05:00.000,2010-04-24T17:57:00.000,I,N,265,2.8,-,-,-,Y,N,9.50E+21,No AR#,NA,NA,-,-,-,-,-,-,9,-
33,1,NA,2010-04-26T06:03:00.000,170,-361,2010-05-04T06:03:00.000,2010-04-30T18:22:00.000,2010-05-01T05:36:00.000,2010-05-01T05:36:00.000,S,S,289.41,2.16,-,-,-,N,N,3.00E+21,No AR#,NA,NA,-,-,-,-,-,-,4,-
34,2,11066,2010-05-01T18:03:00.000,136,-335,2010-05-07T18:04:00.000,2010-05-03T17:45:00.000,2010-05-05T18:12:00.000,2010-05-04T17:53:00.000,I,S,101.09,2.65,N,N,0,Y,Y,1.80E+21,"B: 2, C: 0, M: 0, X: 0|B1.0 05/03 21:53|B4.0 05/05 16:18",NA,NA,-,-,-,-,-,-,2,-
35,3,11084,2010-06-27T18:19:00.000,393,-409,2010-07-07T10:00:00.000,2010-07-03T05:56:00.000,2010-07-07T18:00:00.000,2010-07-04T06:07:00.000,S,S,170,2.6,N,Y,1,N,Y,4.70E+21,"B: 1, C: 0, M: 0, X: 0|B1.0 07/01 20:58",NA,NA,-,-,-,-,-,-,10,-
36,2,11088,2010-07-11T16:13:00.000,108,-391,2010-07-18T06:33:00.000,2010-07-13T18:25:00.000,2010-07-16T05:49:00.000,2010-07-15T06:22:00.000,S,S,69.24,3.14,N,N,0,-,-,-,"B: 0, C: 0, M: 0, X: 0",NA,NA,-,-,-,-,-,-,5,-
037a,3,NA,2010-07-28T05:40:00.000,293,237,2010-07-18T23:10:00.000,2010-08-02T22:30:00.000,2010-08-04T01:30:00.000,2010-08-03T05:00:00.000,I,N,130,3.4,Y,N,0,Y,Y,1.20E+22,No AR#,NA,NA,0,N,-,-,M,11092 (37b),-,-
037b,3,11092,2010-07-28T01:30:00.000,12.4,146,2010-08-10T14:00:00.000,2010-08-02T06:03:00.000,2010-08-06T23:00:00.000,2010-08-04T06:06:00.000,I,N,275,2.8,Y,Y,1,N,Y,1.00E+22,"B: 11, C: 1, M: 0, X: 0|B6.0 07/29 01:38|B7.5 07/29 18:43|B9.0 07/30 02:27|B8.1 07/30 09:18|B4.7 07/30 20:25|B4.1 07/30 22:37|B4.8 07/31 05:29|B3.1 07/31 08:40|B7.4 07/31 19:09|C3.2 08/01 08:26|B1.8 08/02 17:25|B2.8 08/05 00:26",NA,NA,0,N,-,-,N,37a,-,-
39,3,11093,2010-08-04T00:00:00.000,-500.1,103,2010-08-16T23:00:00.000,2010-08-07T06:03:00.000,2010-08-14T20:30:00.000,2010-08-07T18:05:00.000,I,N,190,2,Y,Y,2,N,Y,1.30E+22,"B: 9, C: 1, M: 1, X: 0|B6.6 08/04 02:54|B6.5 08/04 09:20|B4.9 08/04 19:06|C1.3 08/05 21:35|B5.6 08/06 01:36|B4.5 08/06 02:07|M1.0 08/07 18:24|B2.1 08/08 07:51|B2.3 08/08 14:17|B1.8 08/09 02:25|B1.7 08/13 15:44","08/05 + 01 hrs, 0419 km/s|08/07 + 02 hrs, 0609 km/s",http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/qkl/2010/08/CME0001/CME.html|http://sidc.oma.be/cactus/catalog/LASCO/2_5_0/qkl/2010/08/CME0008/CME.html,1,N,-,-,N,N,-,-
40,1,11101,2010-08-25T06:03:00.000,54.8,166,2010-09-01T18:19:00.000,2010-08-30T17:38:00.000,2010-09-01T18:19:00.000,2010-08-31T06:03:00.000,I,N,437.27,4.17,N,Nearby,1,N,Y,6.50E+21,"B: 2, C: 0, M: 0, X: 0|B2.6 08/26 10:53|B1.0 08/28 00:50",NA,NA,0,N,-,-,N,11102,4,-
41,1,11115,2010-10-16T18:22:00.000,-13,-576,2010-10-26T06:14:00.000,2010-10-20T06:03:00.000,2010-10-21T18:11:00.000,2010-10-21T06:25:00.000,S,S,152.14,4.24,N,Y,1,N,N,7.50E+21,"B: 6, C: 0, M: 0, X: 0|B2.6 10/19 12:43|B1.6 10/22 21:31|B1.8 10/22 22:49|B3.6 10/23 17:38|B6.3 10/26 03:16|B6.3 10/26 03:16",NA,NA,0,N,-,-,M,N,3,-
42,2,11118,2010-10-19T05:34:00.000,23.7,166,2010-10-26T06:14:00.000,2010-10-21T18:11:00.000,2010-10-24T18:25:00.000,2010-10-24T18:25:00.000,I,N,89.06,4.32,N,N,1,N,Y,2.20E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,0,N,-,-,N,11117,-,-
43,0,11128,2010-11-25T05:45:00.000,236,-291,2010-12-04T06:03:00.000,2010-11-29T18:04:00.000,2010-12-02T06:14:00.000,2010-12-01T18:03:00.000,S,S,137.53,2.44,N,Y,1,Y,Y,2.50E+21,"B: 0, C: 0, M: 0, X: 0",NA,NA,0,N,-,-,N,N,4,-
44,2,11133,2010-12-05T06:27:00.000,-89.2,281,2010-12-11T17:53:00.000,2010-12-09T18:03:00.000,2010-12-11T17:53:00.000,2010-12-10T06:17:00.000,I,N,252.4,1.88,N,N?,1,Y,Y,5.20E+21,"B: 1, C: 0, M: 0, X: 0|B1.9 12/07 07:39",NA,NA,0,N,-,-,Y,11131,4,-
045a,3,11157,2011-02-06T02:00:00.000,-361,443,2011-02-18T08:00:00.000,2011-02-08T02:30:00.000,2011-02-11T12:00:00.000,2011-02-11T18:03:00.000,S,N,105,1.4,Y,Y,1,Y,N,3.80E+21,"B: 2, C: 0, M: 0, X: 0|B4.3 02/09 05:47|B2.9 02/09 20:04",NA,NA,0,N,-,-,N,11155,-,First distinct s-shape in S45a
